nodes,techs,carriers,timesteps,flow_out
NLD,ccgt,power,2024-10-13 14:00:00,1.1380739840218456e-06
NLD,ccgt,power,2024-10-13 15:00:00,1.1372723571298092e-06
NLD,ccgt,power,2024-10-13 16:00:00,1.1309942712243917e-06
NLD,ccgt,power,2024-10-13 17:00:00,1.1652701708885025e-06
NLD,ccgt,power,2024-10-13 18:00:00,1.1737373871875895e-06
NLD,ccgt,power,2024-10-13 19:00:00,2.060160920322983e-06
NLD,ccgt,power,2024-10-13 20:00:00,1.622128913054445e-06
NLD,ccgt,power,2024-10-13 21:00:00,41.090796624302456
NLD,ccgt,power,2024-10-13 22:00:00,1.5041626899316672e-06
NLD,ccgt,power,2024-10-13 23:00:00,1.437940973223568e-06
NLD,ccgt,power,2024-10-14 00:00:00,1.4552653359726272e-06
NLD,ccgt,power,2024-10-14 01:00:00,1.4918908298330261e-06
NLD,ccgt,power,2024-10-14 02:00:00,1.1647299764515773e-06
NLD,ccgt,power,2024-10-14 03:00:00,1.1779120557998003e-06
NLD,ccgt,power,2024-10-14 04:00:00,1.5154003737249521e-06
NLD,ccgt,power,2024-10-14 05:00:00,1.4854330035801114e-06
NLD,ccgt,power,2024-10-14 06:00:00,1.447047126866552e-06
NLD,ccgt,power,2024-10-14 07:00:00,711.2582835523649
NLD,ccgt,power,2024-10-14 08:00:00,1997.1143749175105
NLD,ccgt,power,2024-10-14 09:00:00,2.114163184127561e-06
NLD,ccgt,power,2024-10-14 10:00:00,1.1232588539572671e-06
NLD,ccgt,power,2024-10-14 11:00:00,1.5213251709515676e-06
NLD,ccgt,power,2024-10-14 12:00:00,1.1572554644660987e-06
NLD,ccgt,power,2024-10-14 13:00:00,1.1683630020097036e-06
NLD,ccgt,power,2024-10-14 14:00:00,1.1792702931666703e-06
NLD,ccgt,power,2024-10-14 15:00:00,1.1794747399874713e-06
NLD,ccgt,power,2024-10-14 16:00:00,1.1733813017677586e-06
NLD,ccgt,power,2024-10-14 17:00:00,1.5138970215246295e-06
NLD,ccgt,power,2024-10-14 18:00:00,1.4371663050138884e-06
NLD,ccgt,power,2024-10-14 19:00:00,1.6043847892079771e-06
NLD,ccgt,power,2024-10-14 20:00:00,1013.8122306786423
NLD,ccgt,power,2024-10-14 21:00:00,2.280656755784642e-06
NLD,ccgt,power,2024-10-14 22:00:00,1.1063699879090838e-06
NLD,ccgt,power,2024-10-14 23:00:00,1.1756146089785804e-06
NLD,ccgt,power,2024-10-15 00:00:00,1.1689051834489882e-06
NLD,ccgt,power,2024-10-15 01:00:00,1.1688391247568347e-06
NLD,ccgt,power,2024-10-15 02:00:00,1.1660119085292117e-06
NLD,ccgt,power,2024-10-15 03:00:00,1.16059726224145e-06
NLD,ccgt,power,2024-10-15 04:00:00,1.1625236003362386e-06
NLD,ccgt,power,2024-10-15 05:00:00,1.1696076756391666e-06
NLD,ccgt,power,2024-10-15 06:00:00,1.1688793425688798e-06
NLD,ccgt,power,2024-10-15 07:00:00,1.4602146642964326e-06
NLD,ccgt,power,2024-10-15 08:00:00,1.4453212768286922e-06
NLD,ccgt,power,2024-10-15 09:00:00,1.4563839609056531e-06
NLD,ccgt,power,2024-10-15 10:00:00,1.1699837840383658e-06
NLD,ccgt,power,2024-10-15 11:00:00,1.176173882512315e-06
NLD,ccgt,power,2024-10-15 12:00:00,1.1640886179484873e-06
NLD,ccgt,power,2024-10-15 13:00:00,1.1619021446696888e-06
NLD,ccgt,power,2024-10-15 14:00:00,1.163606082297511e-06
NLD,ccgt,power,2024-10-15 15:00:00,1.1649656136755032e-06
NLD,ccgt,power,2024-10-15 16:00:00,1.1642137212493613e-06
NLD,ccgt,power,2024-10-15 17:00:00,1.1604083943809714e-06
NLD,ccgt,power,2024-10-15 18:00:00,1.4280962980859745e-06
NLD,ccgt,power,2024-10-15 19:00:00,1.4701718176929378e-06
NLD,ccgt,power,2024-10-15 20:00:00,555.3430318309197
NLD,ccgt,power,2024-10-15 21:00:00,1.5144572814531406e-06
NLD,ccgt,power,2024-10-15 22:00:00,1.4485199227503914e-06
NLD,ccgt,power,2024-10-15 23:00:00,1.1768119774907548e-06
NLD,ccgt,power,2024-10-16 00:00:00,1.1685026428019055e-06
NLD,ccgt,power,2024-10-16 01:00:00,1.1727333754192257e-06
