timesteps,nodes,techs,source_use_equals
2024-10-07 19:00:00,NLD,wind_onshore,0.4151345325440919
2024-10-07 20:00:00,NLD,solar_pv,0.0035573587726627
2024-10-07 20:00:00,NLD,wind_onshore,0.4213198790691475
2024-10-07 21:00:00,NLD,solar_pv,0.0035599454723701
2024-10-07 21:00:00,NLD,wind_onshore,0.4314372353122936
2024-10-07 22:00:00,NLD,solar_pv,0.0023513100340668
2024-10-07 22:00:00,NLD,wind_onshore,0.4348464129703792
2024-10-07 23:00:00,NLD,solar_pv,0.0021773544787412
2024-10-07 23:00:00,NLD,wind_onshore,0.4119335910283363
2024-10-08 00:00:00,NLD,solar_pv,0.0009667790156572
2024-10-08 00:00:00,NLD,wind_onshore,0.393540196179409
2024-10-08 01:00:00,NLD,solar_pv,0.0002457364722072
2024-10-08 01:00:00,NLD,wind_onshore,0.4089220735157798
2024-10-08 02:00:00,NLD,solar_pv,0.0003944717053852
2024-10-08 02:00:00,NLD,wind_onshore,0.4348395969779404
2024-10-08 03:00:00,NLD,solar_pv,0.0003983517549464
2024-10-08 03:00:00,NLD,wind_onshore,0.4251109340636038
2024-10-08 04:00:00,NLD,solar_pv,0.000246383147134
2024-10-08 04:00:00,NLD,wind_onshore,0.4248882177240038
2024-10-08 05:00:00,NLD,solar_pv,0.0001636087564958
2024-10-08 05:00:00,NLD,wind_onshore,0.4463154259540874
2024-10-08 06:00:00,NLD,solar_pv,0.0001610220567884
2024-10-08 06:00:00,NLD,wind_onshore,0.4611633535894531
2024-10-08 07:00:00,NLD,solar_pv,0.0001881824037165
2024-10-08 07:00:00,NLD,wind_onshore,0.4551230816767947
2024-10-08 08:00:00,NLD,solar_pv,0.0167113734599436
2024-10-08 08:00:00,NLD,wind_onshore,0.4514647719217463
2024-10-08 09:00:00,NLD,solar_pv,0.109707107992126
2024-10-08 09:00:00,NLD,wind_onshore,0.4255081398096369
2024-10-08 10:00:00,NLD,solar_pv,0.2166865411427522
2024-10-08 10:00:00,NLD,wind_onshore,0.4366821566405942
