nodes,techs,carriers,timesteps,flow_in
NLD,curtailment,power,2024-10-13 11:00:00,8.886309051959421e-06
NLD,curtailment,power,2024-10-13 12:00:00,8.886311210941182e-06
NLD,curtailment,power,2024-10-13 13:00:00,8.886310686961885e-06
NLD,curtailment,power,2024-10-13 14:00:00,8.886311556707566e-06
NLD,curtailment,power,2024-10-13 15:00:00,8.886311480068567e-06
NLD,curtailment,power,2024-10-13 16:00:00,8.886311846536274e-06
NLD,curtailment,power,2024-10-13 17:00:00,8.886308704804391e-06
NLD,curtailment,power,2024-10-13 18:00:00,8.886294801190887e-06
NLD,curtailment,power,2024-10-13 19:00:00,8.045476947263729e-06
NLD,curtailment,power,2024-10-13 20:00:00,8.444704610253203e-06
NLD,curtailment,power,2024-10-13 21:00:00,2.1541352423374367e-06
NLD,curtailment,power,2024-10-13 22:00:00,8.444854205176024e-06
NLD,curtailment,power,2024-10-13 23:00:00,8.444876866499796e-06
NLD,curtailment,power,2024-10-14 00:00:00,8.444882418068983e-06
NLD,curtailment,power,2024-10-14 01:00:00,8.444929429348401e-06
NLD,curtailment,power,2024-10-14 02:00:00,8.8858259338076e-06
NLD,curtailment,power,2024-10-14 03:00:00,8.886018093118633e-06
NLD,curtailment,power,2024-10-14 04:00:00,8.4452517035696e-06
NLD,curtailment,power,2024-10-14 05:00:00,8.444940568919437e-06
NLD,curtailment,power,2024-10-14 06:00:00,8.444919744043326e-06
NLD,curtailment,power,2024-10-14 07:00:00,2.1541093516655604e-06
NLD,curtailment,power,2024-10-14 08:00:00,2.154108466982717e-06
NLD,curtailment,power,2024-10-14 09:00:00,8.045301318090198e-06
NLD,curtailment,power,2024-10-14 10:00:00,8.886117217945036e-06
NLD,curtailment,power,2024-10-14 11:00:00,8.44528981939173e-06
NLD,curtailment,power,2024-10-14 12:00:00,8.88620592448975e-06
NLD,curtailment,power,2024-10-14 13:00:00,8.886248221959096e-06
NLD,curtailment,power,2024-10-14 14:00:00,8.886295179644666e-06
NLD,curtailment,power,2024-10-14 15:00:00,8.88629702294275e-06
NLD,curtailment,power,2024-10-14 16:00:00,8.886291009758442e-06
NLD,curtailment,power,2024-10-14 17:00:00,8.4452643147135e-06
NLD,curtailment,power,2024-10-14 18:00:00,8.444690968387354e-06
NLD,curtailment,power,2024-10-14 19:00:00,8.444747183119442e-06
NLD,curtailment,power,2024-10-14 20:00:00,2.1541089404201953e-06
NLD,curtailment,power,2024-10-14 21:00:00,8.045166513653487e-06
NLD,curtailment,power,2024-10-14 22:00:00,8.88618345257653e-06
NLD,curtailment,power,2024-10-14 23:00:00,8.886140256130111e-06
NLD,curtailment,power,2024-10-15 00:00:00,8.886283539085923e-06
NLD,curtailment,power,2024-10-15 01:00:00,8.886297553545221e-06
NLD,curtailment,power,2024-10-15 02:00:00,8.886303383887073e-06
NLD,curtailment,power,2024-10-15 03:00:00,8.886304065276913e-06
NLD,curtailment,power,2024-10-15 04:00:00,8.8863048130698e-06
NLD,curtailment,power,2024-10-15 05:00:00,8.886303441791275e-06
NLD,curtailment,power,2024-10-15 06:00:00,8.886282082897455e-06
NLD,curtailment,power,2024-10-15 07:00:00,8.444891487327348e-06
NLD,curtailment,power,2024-10-15 08:00:00,8.44485509189901e-06
NLD,curtailment,power,2024-10-15 09:00:00,8.444883750125844e-06
NLD,curtailment,power,2024-10-15 10:00:00,8.8862771095077e-06
NLD,curtailment,power,2024-10-15 11:00:00,8.886305430211554e-06
NLD,curtailment,power,2024-10-15 12:00:00,8.88630622763835e-06
NLD,curtailment,power,2024-10-15 13:00:00,8.886305350426418e-06
NLD,curtailment,power,2024-10-15 14:00:00,8.88630660627861e-06
NLD,curtailment,power,2024-10-15 15:00:00,8.886304830823828e-06
NLD,curtailment,power,2024-10-15 16:00:00,8.886301062722111e-06
NLD,curtailment,power,2024-10-15 17:00:00,8.886262652941547e-06
NLD,curtailment,power,2024-10-15 18:00:00,8.44494535544131e-06
NLD,curtailment,power,2024-10-15 19:00:00,8.444766080202993e-06
NLD,curtailment,power,2024-10-15 20:00:00,2.15410971041532e-06
NLD,curtailment,power,2024-10-15 21:00:00,8.444218675056608e-06
NLD,curtailment,power,2024-10-15 22:00:00,8.44552189801194e-06
NLD,curtailment,power,2024-10-15 23:00:00,8.885993583963511e-06
NLD,curtailment,power,2024-10-16 00:00:00,8.886296082107233e-06
NLD,curtailment,power,2024-10-16 01:00:00,8.886304823303801e-06
NLD,curtailment,power,2024-10-16 02:00:00,8.886305829486352e-06
NLD,curtailment,power,2024-10-16 03:00:00,8.886306464866989e-06
NLD,curtailment,power,2024-10-16 04:00:00,8.886306945708917e-06
NLD,curtailment,power,2024-10-16 05:00:00,8.886307048963562e-06
NLD,curtailment,power,2024-10-16 06:00:00,8.886306129214042e-06
NLD,curtailment,power,2024-10-16 07:00:00,8.886294949188387e-06
NLD,curtailment,power,2024-10-16 08:00:00,8.88628476443127e-06
NLD,curtailment,power,2024-10-16 09:00:00,8.886300955079918e-06
NLD,curtailment,power,2024-10-16 10:00:00,8.886305718215116e-06
NLD,curtailment,power,2024-10-16 11:00:00,8.886308120516564e-06
NLD,curtailment,power,2024-10-16 12:00:00,8.886309369393e-06
NLD,curtailment,power,2024-10-16 13:00:00,8.886309755407572e-06
NLD,curtailment,power,2024-10-16 14:00:00,8.886310902223287e-06
NLD,curtailment,power,2024-10-16 15:00:00,8.886311609786852e-06
NLD,curtailment,power,2024-10-16 16:00:00,8.886310356895615e-06
NLD,curtailment,power,2024-10-16 17:00:00,8.886306305661007e-06
NLD,curtailment,power,2024-10-16 18:00:00,8.886293587360636e-06
NLD,curtailment,power,2024-10-16 19:00:00,8.045183879514407e-06
NLD,curtailment,power,2024-10-16 20:00:00,2.15410857796962e-06
NLD,curtailment,power,2024-10-16 21:00:00,2.154110168458591e-06
NLD,curtailment,power,2024-10-16 22:00:00,8.444865647102857e-06
NLD,curtailment,power,2024-10-16 23:00:00,8.444894771877931e-06
NLD,curtailment,power,2024-10-17 00:00:00,8.444941202326826e-06
NLD,curtailment,power,2024-10-17 01:00:00,8.88623112097614e-06
NLD,curtailment,power,2024-10-17 02:00:00,8.886268218898097e-06
NLD,curtailment,power,2024-10-17 03:00:00,8.88627875871191e-06
NLD,curtailment,power,2024-10-17 04:00:00,8.886289507036883e-06
NLD,curtailment,power,2024-10-17 05:00:00,8.886297150748068e-06
NLD,curtailment,power,2024-10-17 06:00:00,8.88628096318636e-06
NLD,curtailment,power,2024-10-17 07:00:00,8.444879741617908e-06
NLD,curtailment,power,2024-10-17 08:00:00,8.444807688869592e-06
NLD,curtailment,power,2024-10-17 09:00:00,8.886274951504756e-06
NLD,curtailment,power,2024-10-17 10:00:00,8.886308435045783e-06
NLD,curtailment,power,2024-10-17 11:00:00,8.886310728986428e-06
