nodes,techs,carriers,timesteps,flow_in_inc_eff
NLD,curtailment,power,2024-01-12 23:00:00,0.00010644046341925367
NLD,curtailment,power,2024-01-13 00:00:00,0.00010644136872398763
NLD,curtailment,power,2024-01-13 01:00:00,0.0006942380498285439
NLD,curtailment,power,2024-01-13 02:00:00,0.0006945826096562135
NLD,curtailment,power,2024-01-13 03:00:00,0.0006945765484039357
NLD,curtailment,power,2024-01-13 04:00:00,0.0006945079616977323
NLD,curtailment,power,2024-01-13 05:00:00,0.000694598096784238
NLD,curtailment,power,2024-01-13 06:00:00,0.0006945647507766717
NLD,curtailment,power,2024-01-13 07:00:00,0.00034722920424988535
NLD,curtailment,power,2024-01-13 08:00:00,493.0240723218831
NLD,curtailment,power,2024-01-13 09:00:00,0.0006951894761639821
NLD,curtailment,power,2024-01-13 10:00:00,631.3314275366289
NLD,curtailment,power,2024-01-13 11:00:00,3190.312987839453
NLD,curtailment,power,2024-01-13 12:00:00,4418.8955416345
NLD,curtailment,power,2024-01-13 13:00:00,3887.2625643770766
NLD,curtailment,power,2024-01-13 14:00:00,1599.2074302814044
NLD,curtailment,power,2024-01-13 15:00:00,0.00010644354159038139
NLD,curtailment,power,2024-01-13 16:00:00,0.00010644053517986501
NLD,curtailment,power,2024-01-13 17:00:00,0.00010644057756040853
NLD,curtailment,power,2024-01-13 18:00:00,0.00010644042303564055
NLD,curtailment,power,2024-01-13 19:00:00,0.00010644037186469633
NLD,curtailment,power,2024-01-13 20:00:00,0.00010644031557759115
NLD,curtailment,power,2024-01-13 21:00:00,0.00010644034760746643
NLD,curtailment,power,2024-01-13 22:00:00,0.00010644078265774348
NLD,curtailment,power,2024-01-13 23:00:00,0.00022898690622334683
NLD,curtailment,power,2024-01-14 00:00:00,92.56719971811064
NLD,curtailment,power,2024-01-14 01:00:00,335.5541194870912
NLD,curtailment,power,2024-01-14 02:00:00,0.0006975896555052596
NLD,curtailment,power,2024-01-14 03:00:00,124.21287021777387
NLD,curtailment,power,2024-01-14 04:00:00,390.7673101441025
NLD,curtailment,power,2024-01-14 05:00:00,410.47629581395705
NLD,curtailment,power,2024-01-14 06:00:00,674.3858391461445
